Sr. No.,Symbol,Company Name,"Market capitalization as on March 28, 2024
(In lakhs)"
868,EXICOM,Exicom Tele-Systems Limited,"2,38,447.15"
869,PGIL,Pearl Global Industries Limited,"2,38,344.42"
870,MANORAMA,Manorama Industries Limited,"2,37,412.82"
871,SOMANYCERA,Somany Ceramics Limited,"2,36,734.40"
872,KINGFA,Kingfa Science & Technology (India) Limited,"2,36,711.07"
873,FINOPB,Fino Payments Bank Limited,"2,36,578.26"
874,UNIPARTS,Uniparts India Limited,"2,36,455.76"
875,INDOSTAR,IndoStar Capital Finance Limited,"2,36,053.66"
876,DIVGIITTS,Divgi Torqtransfer Systems Limited,"2,35,457.95"
877,HINDOILEXP,Hindustan Oil Exploration Company Limited,"2,35,086.97"
878,SEPC,SEPC Limited,"2,34,685.79"
879,INDIAGLYCO,India Glycols Limited,"2,34,394.04"
880,IPL,India Pesticides Limited,"2,34,012.25"
881,GENESYS,Genesys International Corporation Limited,"2,33,863.08"
882,SANGHIIND,Sanghi Industries Limited,"2,33,397.54"
883,BSHSL,Bombay Super Hybrid Seeds Limited,"2,33,380.51"
884,SATIN,Satin Creditcare Network Limited,"2,32,154.73"
885,AXISCADES,AXISCADES Technologies Limited,"2,31,107.41"
886,ARTEMISMED,Artemis Medicare Services Limited,"2,30,759.06"
887,SASKEN,Sasken Technologies Limited,"2,30,632.19"
888,EIHAHOTELS,EIH Associated Hotels Limited,"2,30,506.77"
889,DHANI,Dhani Services Limited,"2,29,530.29"
890,PRECWIRE,Precision Wires India Limited,"2,29,039.52"
891,VIDHIING,Vidhi Specialty Food Ingredients Limited,"2,28,448.43"
892,APCOTEXIND,Apcotex Industries Limited,"2,27,158.69"
893,HUHTAMAKI,Huhtamaki India Limited,"2,25,923.87"
894,LUMAXIND,Lumax Industries Limited,"2,25,439.25"
895,GOCLCORP,GOCL Corporation Limited,"2,25,356.54"
896,WENDT,Wendt (India) Limited,"2,24,676.00"
897,DEN,Den Networks Limited,"2,24,533.82"
898,YATRA,Yatra Online Limited,"2,24,468.61"
899,HONDAPOWER,Honda India Power Products Limited,"2,24,450.95"
900,KCP,KCP Limited,"2,24,064.98"
901,EMSLIMITED,EMS Limited,"2,23,455.97"
902,JAGRAN,Jagran Prakashan Limited,"2,23,422.11"
903,SANGAMIND,Sangam (India) Limited,"2,22,542.01"
904,BEPL,Bhansali Engineering Polymers Limited,"2,22,355.03"
905,CAPACITE,Capacit'e Infraprojects Limited,"2,21,535.69"
906,NPST,Network People Services Technologies Limited,"2,20,738.69"
907,SUVEN,Suven Life Sciences Limited,"2,18,073.72"
908,MANINDS,Man Industries (India) Limited,"2,18,023.83"
909,DIAMONDYD,Prataap Snacks Limited,"2,17,761.45"
910,CENTUM,Centum Electronics Limited,"2,17,009.01"
911,VENKEYS,Venky's (India) Limited,"2,16,839.30"
912,IKIO,IKIO Lighting Limited,"2,16,617.80"
913,TCNSBRANDS,TCNS Clothing Co. Limited,"2,16,426.73"
914,OPTIEMUS,Optiemus Infracom Limited,"2,15,887.91"
915,MOREPENLAB,Morepen Laboratories Limited,"2,14,946.44"
916,MUKANDLTD,Mukand Limited,"2,14,937.15"
917,UDS,Updater Services Limited,"2,14,469.09"
918,ALEMBICLTD,Alembic Limited,"2,14,284.44"
919,RAMASTEEL,Rama Steel Tubes Limited,"2,13,129.72"
920,IOLCP,IOL Chemicals and Pharmaceuticals Limited,"2,12,191.04"
921,MBAPL,Madhya Bharat Agro Products Limited,"2,11,399.99"
922,MMFL,MM Forgings Limited,"2,11,135.44"
923,VAKRANGEE,Vakrangee Limited,"2,10,313.39"
924,TARSONS,Tarsons Products Limited,"2,09,419.92"
925,ASTEC,Astec LifeSciences Limited,"2,09,318.47"
926,JSLL,Jeena Sikho Lifecare Limited,"2,09,235.42"
927,VISHNU,Vishnu Chemicals Limited,"2,09,162.81"
928,TTKHLTCARE,TTK Healthcare Limited,"2,08,627.30"
929,MTNL,Mahanagar Telephone Nigam Limited,"2,06,640.00"
930,RPTECH,Rashi Peripherals Limited,"2,06,101.20"
931,RPSGVENT,RPSG VENTURES LIMITED,"2,06,012.53"
932,ORIENTHOT,Oriental Hotels Limited,"2,05,924.85"
933,GTLINFRA,GTL Infrastructure Limited,"2,04,912.34"
934,WEBELSOLAR,Websol Energy System Limited,"2,04,827.40"
935,JASH,Jash Engineering Limited,"2,03,847.64"
936,UGROCAP,Ugro Capital Limited,"2,03,758.42"
937,SDBL,Som Distilleries & Breweries Limited,"2,03,658.90"
938,HPL,HPL Electric & Power Limited,"2,03,511.04"
939,TCPLPACK,TCPL Packaging Limited,"2,03,280.35"
940,ADFFOODS,ADF Foods Limited,"2,03,192.72"
941,HMT,HMT Limited,"2,02,483.85"
942,MOL,Meghmani Organics Limited,"2,01,671.17"
943,MUFIN,Mufin Green Finance Limited,"2,01,352.06"
944,THEMISMED,Themis Medicare Limited,"2,01,199.70"
945,PANAMAPET,Panama Petrochem Limited,"2,01,141.21"
946,MANGLMCEM,Mangalam Cement Limited,"2,01,005.25"
947,SIGNPOST,Signpost India Limited,"2,00,918.55"
948,HITECH,Hi-Tech Pipes Limited,"2,00,661.44"
949,MAYURUNIQ,Mayur Uniquoters Ltd,"2,00,292.00"
950,SIYSIL,Siyaram Silk Mills Limited,"1,99,129.32"
951,JINDALPOLY,Jindal Poly Films Limited,"1,98,593.28"
952,KRSNAA,Krsnaa Diagnostics Limited,"1,98,452.88"
953,DEEPINDS,Deep Industries Limited,"1,97,440.00"
954,PNBGILTS,PNB Gilts Limited,"1,97,291.11"
955,HIL,HIL Limited,"1,96,421.57"
956,RICOAUTO,Rico Auto Industries Limited,"1,96,298.54"
957,BFINVEST,BF Investment Limited,"1,96,022.34"
958,GANDHAR,Gandhar Oil Refinery (India) Limited,"1,95,837.51"
959,IFGLEXPOR,IFGL Refractories Limited,"1,95,819.60"
960,BARBEQUE,Barbeque Nation Hospitality Limited,"1,94,513.85"
961,ANDHRAPAP,ANDHRA PAPER LIMITED,"1,93,182.96"
962,IRMENERGY,IRM Energy Limited,"1,92,693.06"
963,RIIL,Reliance Industrial Infrastructure Limited,"1,92,592.95"
964,SHRIRAMPPS,Shriram Properties Limited,"1,92,553.57"
965,GLOBUSSPR,Globus Spirits Limited,"1,91,812.40"
966,DREDGECORP,Dredging Corporation of India Limited,"1,90,288.00"
967,RUPA,Rupa & Company Limited,"1,89,864.89"
968,SJS,S.J.S. Enterprises Limited,"1,89,532.96"
969,PARACABLES,Paramount Communications Limited,"1,88,618.28"
970,EXPLEOSOL,Expleo Solutions Limited,"1,88,324.27"
971,PRECAM,Precision Camshafts Limited,"1,87,644.52"
972,BHARATWIRE,Bharat Wire Ropes Limited,"1,87,251.51"
973,GTPL,GTPL Hathway Limited,"1,87,250.96"
974,VPRPL,Vishnu Prakash R Punglia Limited,"1,86,779.03"
975,ADORWELD,Ador Welding Limited,"1,86,434.98"
976,DPABHUSHAN,D. P. Abhushan Limited,"1,86,117.31"
977,FOSECOIND,Foseco India Limited,"1,85,980.07"
978,SCILAL,Shipping Corporation of India Land and Assets Limited,"1,85,853.80"
979,SESHAPAPER,Seshasayee Paper and Boards Limited,"1,85,578.00"
980,JINDRILL,Jindal Drilling And Industries Limited,"1,84,696.58"
981,YASHO,Yasho Industries Limited,"1,84,558.75"
982,GREENPOWER,Orient Green Power Company Limited,"1,83,395.38"
983,NITINSPIN,Nitin Spinners Limited,"1,82,630.67"
984,GOLDIAM,Goldiam International Limited,"1,82,512.86"
985,PIXTRANS,Pix Transmissions Limited,"1,81,801.04"
986,SIGACHI,Sigachi Industries Limited,"1,80,176.63"
987,ARMANFIN,Arman Financial Services Limited,"1,79,568.44"
988,MONARCH,Monarch Networth Capital Limited,"1,79,389.90"
989,AMRUTANJAN,Amrutanjan Health Care Limited,"1,79,376.00"
990,FMGOETZE,Federal-Mogul Goetze (India) Limited.,"1,79,191.09"
991,PENIND,Pennar Industries Limited,"1,79,073.65"
992,GEPIL,GE Power India Limited,"1,78,522.55"
993,PVSL,Popular Vehicles and Services Limited,"1,77,639.50"
994,JUBLINDS,Jubilant Industries Limited,"1,76,744.63"
995,63MOONS,63 moons technologies limited,"1,75,835.70"
996,CANTABIL,Cantabil Retail India Limited,"1,74,636.23"
997,RAMCOIND,Ramco Industries Limited,"1,74,486.21"
998,JYOTISTRUC,Jyoti Structures Limited,"1,73,961.65"
999,VSSL,Vardhman Special Steels Limited,"1,72,776.30"
1000,HERCULES,Hercules Hoists Limited,"1,72,464.00"
1001,NSIL,Nalwa Sons Investments Limited,"1,71,781.54"
1002,HLVLTD,HLV LIMITED,"1,71,737.20"
1003,SURYODAY,Suryoday Small Finance Bank Limited,"1,70,819.00"
1004,TNPL,Tamil Nadu Newsprint & Papers Limited,"1,70,707.94"
1005,SUBEXLTD,Subex Limited,"1,68,881.88"
1006,RISHABH,Rishabh Instruments Limited,"1,68,798.30"
1007,SERVOTECH,Servotech Power Systems Limited,"1,68,317.73"
1008,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,"1,67,361.79"
1009,ATFL,Agro Tech Foods Limited,"1,66,198.38"
1010,OMAXE,Omaxe Limited,"1,65,616.44"
1011,EVERESTIND,Everest Industries Limited,"1,64,449.81"
1012,PREMEXPLN,Premier Explosives Limited,"1,63,616.82"
1013,GNA,GNA Axles Limited,"1,63,351.69"
1014,GOKULAGRO,Gokul Agro Resources Limited,"1,61,043.58"
1015,TALBROAUTO,Talbros Automotive Components Limited,"1,60,801.83"
1016,DCMSRIND,DCM Shriram Industries Limited,"1,59,369.68"
1017,NELCO,NELCO Limited,"1,58,393.92"
1018,KICL,Kalyani Investment Company Limited,"1,58,272.90"
1019,MOTISONS,Motisons Jewellers Limited,"1,57,562.82"
1020,5PAISA,5Paisa Capital Limited,"1,57,484.55"
1021,KIRIINDUS,Kiri Industries Limited,"1,57,109.49"
1022,CAPITALSFB,Capital Small Finance Bank Limited,"1,57,108.31"
1023,INDRAMEDCO,Indraprastha Medical Corporation Limited,"1,57,081.69"
1024,AEROFLEX,Aeroflex Industries Limited,"1,56,994.93"
1025,SIRCA,Sirca Paints India Limited,"1,56,013.25"
1026,SHANKARA,Shankara Building Products Limited,"1,55,474.55"
1027,FAIRCHEMOR,Fairchem Organics Limited,"1,54,974.78"
1028,BLKASHYAP,B. L. Kashyap and Sons Limited,"1,54,651.84"
1029,TFCILTD,Tourism Finance Corporation of India Limited,"1,54,536.89"
1030,SADHNANIQ,Sadhana Nitrochem Limited,"1,54,164.48"
1031,INDNIPPON,India Nippon Electricals Limited,"1,53,972.72"
1032,GVKPIL,GVK Power & Infrastructure Limited,"1,53,915.50"
1033,RANEHOLDIN,Rane Holdings Limited,"1,53,871.95"
1034,GEOJITFSL,Geojit Financial Services Limited,"1,53,530.76"
1035,DCW,DCW Limited,"1,51,709.68"
1036,SBGLP,Suratwwala Business Group Limited,"1,51,583.31"
1037,BCLIND,Bcl Industries Limited,"1,51,149.90"
1038,SMSPHARMA,SMS Pharmaceuticals Limited,"1,50,892.24"
1039,DPSCLTD,DPSC Limited,"1,49,963.60"
1040,CAMLINFINE,Camlin Fine Sciences Limited,"1,49,453.42"
1041,CONTROLPR,Control Print Limited,"1,48,722.18"
1042,REFEX,Refex Industries Limited,"1,48,534.43"
1043,KRISHANA,Krishana Phoschem Limited,"1,47,778.62"
1044,EKC,Everest Kanto Cylinder Limited,"1,47,384.79"
1045,WHEELS,Wheels India Limited,"1,46,097.20"
1046,JITFINFRA,JITF Infralogistics Limited,"1,46,048.46"
1047,V2RETAIL,V2 Retail Limited,"1,46,036.20"
1048,SALZERELEC,Salzer Electronics Limited,"1,45,736.87"
1049,UNIVCABLES,Universal Cables Limited,"1,45,681.68"
1050,SPAL,S. P. Apparels Limited,"1,45,662.54"
1051,EPACK,EPACK Durable Limited,"1,44,991.32"
1052,SWELECTES,Swelect Energy Systems Limited,"1,44,667.63"
1053,GPTHEALTH,GPT Healthcare Limited,"1,44,662.65"
1054,HITECHGEAR,The Hi-Tech Gears Limited,"1,44,488.75"
1055,INSECTICID,Insecticides (India) Limited,"1,43,934.28"
1056,PENINLAND,Peninsula Land Limited,"1,43,700.42"
1057,SHREDIGCEM,Shree Digvijay Cement Co.Ltd,"1,43,279.39"
1058,SPIC,Southern Petrochemicals Industries Corporation  Limited,"1,43,159.16"
1059,NIITLTD,NIIT Limited,"1,42,628.87"
1060,BIGBLOC,Bigbloc Construction Limited,"1,42,425.20"
1061,ORIANA,Oriana Power Limited,"1,42,334.89"
1062,SPCENET,Spacenet Enterprises India Limited,"1,42,053.83"
1063,SHALPAINTS,Shalimar Paints Limited,"1,39,044.27"
1064,KAMDHENU,Kamdhenu Limited,"1,39,014.12"
1065,STOVEKRAFT,Stove Kraft Limited,"1,38,668.65"
1066,RKSWAMY,R K Swamy Limited,"1,38,408.59"
1067,NAVKARCORP,Navkar Corporation Limited,"1,38,176.61"
1068,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,"1,36,412.03"
1069,DHAMPURSUG,Dhampur Sugar Mills Limited,"1,35,875.41"
1070,NDTV,New Delhi Television Limited,"1,35,744.25"
1071,ARIHANTSUP,Arihant Superstructures Limited,"1,35,498.69"
1072,VASCONEQ,Vascon Engineers Limited,"1,35,446.07"
1073,KUANTUM,Kuantum Papers Limited,"1,34,822.31"
1074,APTECHT,Aptech Limited,"1,34,381.05"
1075,INDIANHUME,Indian Hume Pipe Company Limited,"1,34,180.47"
1076,ROSSELLIND,Rossell India Limited,"1,33,803.64"
1077,AHL,Abans Holdings Limited,"1,33,538.66"
1078,SOLARA,Solara Active Pharma Sciences Limited,"1,33,528.15"
1079,SUMMITSEC,Summit Securities Limited,"1,33,219.76"
1080,ALICON,Alicon Castalloy Limited,"1,32,737.39"
1081,KSOLVES,Ksolves India Limited,"1,32,662.71"
1082,IGPL,IG Petrochemicals Limited,"1,32,648.82"
1083,STEELCAS,Steelcast Limited,"1,32,349.36"
1084,POKARNA,Pokarna Limited,"1,32,092.54"
1085,ATL,Allcargo Terminals Limited,"1,32,061.34"
1086,ATULAUTO,Atul Auto Limited,"1,32,012.84"
1087,GANESHBE,Ganesh Benzoplast Limited,"1,31,956.61"
1088,COSMOFIRST,COSMO FIRST LIMITED,"1,31,445.51"
1089,AWHCL,Antony Waste Handling Cell Limited,"1,31,040.16"
1090,DWARKESH,Dwarikesh Sugar Industries Limited,"1,30,869.52"
1091,HARIOMPIPE,Hariom Pipe Industries Limited,"1,30,816.75"
1092,SMCGLOBAL,SMC Global Securities Limited,"1,30,717.95"
1093,MADRASFERT,Madras Fertilizers Limited,"1,30,492.05"
1094,DSSL,Dynacons Systems & Solutions Limited,"1,30,459.48"
1095,STEELXIND,STEEL EXCHANGE INDIA LIMITED,"1,30,246.02"
1096,MONTECARLO,Monte Carlo Fashions Limited,"1,29,876.01"
1097,E2E,E2E Networks Limited,"1,29,769.50"
1098,VERTOZ,Vertoz Advertising Limited,"1,29,707.46"
1099,GIRIRAJ,Giriraj Civil Developers Limited,"1,29,374.02"
1100,NGLFINE,NGL Fine-Chem Limited,"1,29,367.82"
1101,IGARASHI,Igarashi Motors India Limited,"1,29,142.12"
1102,JAYBARMARU,Jay Bharat Maruti Limited,"1,27,951.50"
1103,AVTNPL,AVT Natural Products Limited,"1,27,918.56"
1104,SKYGOLD,Sky Gold Limited,"1,26,842.00"
1105,TVTODAY,TV Today Network Limited,"1,26,288.62"
1106,XCHANGING,Xchanging Solutions Limited,"1,25,886.20"
1107,ANDHRSUGAR,The Andhra Sugars Limited,"1,25,709.07"
1108,ACLGATI,Allcargo Gati Limited,"1,25,107.07"
1109,KOPRAN,Kopran Limited,"1,24,677.79"
1110,ENIL,Entertainment Network (India) Limited,"1,24,014.58"
1111,VERANDA,Veranda Learning Solutions Limited,"1,23,621.42"
1112,MVGJL,Manoj Vaibhav Gems N Jewellers Limited,"1,22,924.59"
1113,OMINFRAL,OM INFRA LIMITED,"1,22,739.20"
1114,ZOTA,Zota Health Care LImited,"1,22,645.57"
1115,SNOWMAN,Snowman Logistics Limited,"1,22,475.50"
1116,RAJRILTD,Raj Rayon Industries Limited,"1,22,060.11"
1117,PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,"1,21,751.23"
1118,KITEX,Kitex Garments Limited,"1,20,996.75"
1119,TEXINFRA,Texmaco Infrastructure & Holdings Limited,"1,20,927.83"
1120,IMPAL,India Motor Parts and Accessories Limited,"1,20,906.24"
1121,HIMATSEIDE,Himatsingka Seide Limited,"1,20,314.65"
1122,DOLATALGO,Dolat Algotech Limited,"1,20,120.00"
1123,MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,"1,20,115.10"
1124,AGARIND,Agarwal Industrial Corporation Limited,"1,19,722.14"
1125,REPRO,Repro India Limited,"1,19,289.42"
1126,DOLPHIN,Dolphin Offshore Enterprises (India) Limited,"1,19,073.63"
1127,UTTAMSUGAR,Uttam Sugar Mills Limited,"1,19,010.00"
1128,CENTRUM,Centrum Capital Limited,"1,18,777.35"
1129,HESTERBIO,Hester Biosciences Limited,"1,18,623.98"
1130,BETA,Beta Drugs Limited,"1,18,610.13"
1131,MARINE,Marine Electricals (India) Limited,"1,18,311.06"
1132,BLISSGVS,Bliss GVS Pharma Limited,"1,18,143.59"
1133,MSPL,MSP Steel & Power Limited,"1,17,936.99"
1134,LINCOLN,Lincoln Pharmaceuticals Limited,"1,17,384.22"
1135,SAURASHCEM,Saurashtra Cement Limited,"1,17,359.78"
1136,MATRIMONY,Matrimony.Com Limited,"1,17,056.63"
1137,HARDWYN,Hardwyn India Limited,"1,16,003.09"
1138,GMBREW,GM Breweries Limited,"1,15,879.60"
1139,SURAJEST,Suraj Estate Developers Limited,"1,15,693.78"
1140,SICALLOG,Sical Logistics Limited,"1,15,164.63"
1141,TREL,Transindia Real Estate Limited,"1,13,634.18"
1142,PAKKA,PAKKA LIMITED,"1,13,626.66"
1143,HERANBA,Heranba Industries Limited,"1,13,498.20"
1144,RAMRAT,Ram Ratna Wires Limited,"1,12,838.00"
1145,DVL,Dhunseri Ventures Limited,"1,12,604.58"
1146,NACLIND,NACL Industries Limited,"1,12,032.66"
1147,RML,Rane (Madras) Limited,"1,11,888.77"
1148,NELCAST,Nelcast Limited,"1,11,796.54"
1149,KOKUYOCMLN,Kokuyo Camlin Limited,"1,11,337.22"
1150,ALLSEC,Allsec Technologies Limited,"1,11,331.21"
1151,MACPOWER,Macpower CNC Machines Limited,"1,10,716.04"
1152,INNOVANA,Innovana Thinklabs Limited,"1,10,700.00"
1153,ROTO,Roto Pumps Limited,"1,10,696.12"
1154,STERTOOLS,Sterling Tools Limited,"1,10,432.22"
1155,MUKKA,Mukka Proteins Limited,"1,09,500.00"
1156,TIL,TIL Limited,"1,08,861.06"
1157,CSLFINANCE,CSL Finance Limited,"1,08,695.88"
1158,GICHSGFIN,GIC Housing Finance Limited,"1,08,456.05"
1159,SATIA,Satia Industries Limited,"1,08,300.00"
1160,MUFTI,Credo Brands Marketing Limited,"1,07,651.40"
1161,CREST,Crest Ventures Limited,"1,06,616.38"
1162,AVADHSUGAR,Avadh Sugar & Energy Limited,"1,06,307.82"
1163,WINDLAS,Windlas Biotech Limited,"1,06,135.13"
1164,KRYSTAL,Krystal Integrated Services Limited,"1,05,970.27"
1165,YUKEN,Yuken India Limited,"1,05,943.50"
1166,ASIANENE,Asian Energy Services Limited,"1,05,818.34"
1167,SPORTKING,Sportking India Limited,"1,05,805.97"
1168,KOTYARK,Kotyark Industries Limited,"1,05,781.11"
1169,CLSEL,Chaman Lal Setia Exports Limited,"1,05,303.64"
1170,KAMOPAINTS,Kamdhenu Ventures Limited,"1,05,120.31"
1171,HUBTOWN,Hubtown Limited,"1,05,115.67"
1172,VALIANTORG,Valiant Organics Limited,"1,05,005.79"
1173,INDOTECH,Indo Tech Transformers Limited,"1,04,968.08"
1174,COFFEEDAY,Coffee Day Enterprises Limited,"1,04,886.48"
1175,SYNCOMF,Syncom Formulations (India) Limited,"1,04,810.00"
1176,NDRAUTO,Ndr Auto Components Limited,"1,04,809.94"
1177,DHANBANK,Dhanlaxmi Bank Limited,"1,04,367.48"
1178,ONEPOINT,One Point One Solutions Limited,"1,03,875.52"
1179,HIRECT,Hind Rectifiers Limited,"1,03,469.83"
1180,KABRAEXTRU,Kabra Extrusion Technik Limited,"1,02,837.62"
1181,REMUS,Remus Pharmaceuticals Limited,"1,01,627.43"
1182,INDORAMA,Indo Rama Synthetics (India) Limited,"1,01,442.46"
1183,GULPOLY,Gulshan Polyols Limited,"1,01,133.91"
1184,HEUBACHIND,Heubach Colorants India Limited,"1,00,728.97"
1185,OAL,Oriental Aromatics Limited,"1,00,304.48"
1186,CREATIVE,Creative Newtech Limited,"1,00,140.71"
1187,ONWARDTEC,Onward Technologies Limited,99671.12
1188,URJA,Urja Global Limited,99310.69
1189,PVP,PVP Ventures Limited,99213.8
1190,ROHLTD,Royal Orchid Hotels Limited,99059.88
1191,BLAL,BEML Land Assets Limited,98530.89
1192,SATINDLTD,Sat Industries Limited,98497.04
1193,VIMTALABS,Vimta Labs Limited,98404.13
1194,ZUARIIND,ZUARI INDUSTRIES LIMITED,97801.41
1195,GSLSU,Global Surfaces Limited,97796.05
1196,NAHARSPING,Nahar Spinning Mills Limited,96853.37
1197,MANALIPETC,Manali Petrochemicals Limited,96663.57
1198,SASTASUNDR,Sastasundar Ventures Limited,96640.3
1199,DLINKINDIA,D-Link (India) Limited,96431.17
1200,RGL,Renaissance Global Limited,95987.23
1201,FOCUS,Focus Lighting and Fixtures Limited,95344.61
1202,GANDHITUBE,Gandhi Special Tubes Limited,94654.7
1203,KELLTONTEC,Kellton Tech Solutions Limited,94429.02
1204,PLATIND,Platinum Industries Limited,94141.23
1205,KERNEX,Kernex Microsystems (India) Limited,93852.76
1206,RAMCOSYS,Ramco Systems Limited,93730.16
1207,WALCHANNAG,Walchandnagar Industries Limited,93084.94
1208,CHEMFAB,Chemfab Alkalis Limited,92785.9
1209,UNIENTER,Uniphos Enterprises Limited,92774.16
1210,SARVESHWAR,Sarveshwar Foods Limited,92498.11
1211,BODALCHEM,Bodal Chemicals Limited,92392.44
1212,SEMAC,SEMAC CONSULTANTS LIMITED,92075.76
1213,VISAKAIND,Visaka Industries Limited,91934.66
1214,LIKHITHA,Likhitha Infrastructure Limited,91681.8
1215,WEL,Wonder Electricals Limited,91426.96
1216,ASAL,Automotive Stampings and Assemblies Limited,91053.71
1217,AMNPLST,Amines & Plasticizers Limited,91003.08
1218,GPTINFRA,GPT Infraprojects Limited,90922.84
1219,NINSYS,NINtec Systems Limited,90873.79
1220,SHIVALIK,Shivalik Rasayan Limited,89923.35
1221,VHL,Vardhman Holdings Limited,89549.38
1222,OWAIS,Owais Metal And Mineral Processing Limited,89366.49
1223,TRACXN,Tracxn Technologies Limited,88993.58
1224,EXCELINDUS,Excel Industries Limited,88950.22
1225,INFOBEAN,InfoBeans Technologies Limited,88944.4
1226,SANDESH,The Sandesh Limited,88796.88
1227,EIMCOELECO,Eimco Elecon (India) Limited,88149.58
1228,CENTENKA,Century Enka Limited,87872.14
1229,HPAL,HP Adhesives Limited,87694.43
1230,MICEL,MIC Electronics Limited,87471.31
1231,FAZE3Q,Faze Three Limited,87341.69
1232,ORIENTPPR,Orient Paper & Industries Limited,87314.47
1233,MAXIND,Max India Limited,87248.12
1234,GRPLTD,GRP Limited,86864.64
1235,DENORA,De Nora India Limited,86259.99
1236,ASALCBR,Associated Alcohols & Breweries Ltd.,85351.9
1237,GKWLIMITED,GKW Limited,84831.7
1238,VLSFINANCE,VLS Finance Limited,84780.93
1239,SPECIALITY,Speciality Restaurants Limited,84724.02
1240,CHEMCON,Chemcon Speciality Chemicals Limited,84616.92
1241,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,84502.41
1242,PPL,Prakash Pipes Limited,84455.71
1243,NCLIND,NCL Industries Limited,83590.2
1244,HEXATRADEX,Hexa Tradex Limited,83309.01
1245,DECCANCE,Deccan Cements Limited,82784.33
1246,SUTLEJTEX,Sutlej Textiles and Industries Limited,82569.62
1247,SPENCERS,Spencer's Retail Limited,82296.71
1248,BASILIC,Basilic Fly Studio Limited,82234.74
1249,SILVERTUC,Silver Touch Technologies Limited,81957.3
1250,SCHAND,S Chand And Company Limited,81915.62
1251,AGSTRA,AGS Transact Technologies Limited,81825.67
1252,DYCL,Dynamic Cables Limited,81726.98
1253,ALPEXSOLAR,Alpex Solar Limited,81325.11
1254,RADIANTCMS,Radiant Cash Management Services Limited,81258.07
1255,AMBIKCO,Ambika Cotton Mills Limited,80968.68
1256,BAJAJHCARE,Bajaj Healthcare Limited,80670.12
1257,RSWM,RSWM Limited,80567.43
1258,SAKAR,Sakar Healthcare Limited,80104.92
1259,MUNJALAU,Munjal Auto Industries Limited,79500
1260,HMVL,Hindustan Media Ventures Limited,79123.24
1261,ELDEHSG,Eldeco Housing And Industries Limited,78988.49
1262,INDOAMIN,Indo Amines Limited,78827.78
1263,DENTALKART,Vasa Denticity Limited,78527.47
1264,VIKASLIFE,Vikas Lifecare Limited,78335.68
1265,RUSHIL,Rushil Decor Limited,77329.19
1266,ADSL,Allied Digital Services Limited,76942.79
1267,BCONCEPTS,Brand Concepts Limited,76716.02
1268,DBOL,Dhampur Bio Organics Limited,76511.7
1269,LINC,Linc Limited,76473.32
1270,RADHIKAJWE,Radhika Jeweltech Limited,76287
1271,DHARMAJ,Dharmaj Crop Guard Limited,75672.15
1272,MAGADSUGAR,Magadh Sugar & Energy Limited,75650.92
1273,CHEVIOT,Cheviot Company Limited,75520.81
1274,VINYAS,Vinyas Innovative Technologies Limited,75508.36
1275,BALAJITELE,Balaji Telefilms Limited,74979.14
1276,OSWALGREEN,Oswal Greentech Limited,74731.47
1277,ICEMAKE,Ice Make Refrigeration Limited,74669.71
1278,GFLLIMITED,GFL Limited,74478.3
1279,PANACEABIO,Panacea Biotec Limited,74450.28
1280,STCINDIA,The State Trading Corporation of India Limited,74430
1281,TRU,TruCap Finance Limited,74289.55
1282,UGARSUGAR,The Ugar Sugar Works Limited,74025
1283,MAANALU,Maan Aluminium Limited,73988.09
1284,NRAIL,N R Agarwal Industries Limited,73556.55
1285,JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,72850.34
1286,GHCLTEXTIL,GHCL Textiles Limited,72454.03
1287,ASIANTILES,Asian Granito India Limited,72434.95
1288,DAVANGERE,Davangere Sugar Company Limited,72303.91
1289,POCL,Pondy Oxides & Chemicals Limited,72166.63
1290,KOTHARIPET,Kothari Petrochemicals Limited,71939.72
1291,CONSOFINVT,Consolidated Finvest & Holdings Limited,71845.35
1292,ACL,Andhra Cements Limited,71663.84
1293,ZUARI,Zuari Agro Chemicals Limited,71246.26
1294,GRMOVER,GRM Overseas Limited,71190
1295,BEDMUTHA,Bedmutha Industries Limited,71125.73
1296,SUKHJITS,Sukhjit Starch & Chemicals Limited,70970.75
1297,ESTER,Ester Industries Limited,70843
1298,WSI,W S Industries (I) Limited,70517.38
1299,TNPETRO,Tamilnadu PetroProducts Limited,70177.75
1300,FOODSIN,Foods & Inns Limited,70000.44
1301,THEINVEST,The Investment Trust Of India Limited,69769.48
1302,DHUNINV,Dhunseri Investments Limited,69687.7
1303,TBZ,Tribhovandas Bhimji Zaveri Limited,69433.21
1304,EMKAYTOOLS,Emkay Taps and Cutting Tools Limited,69363.45
1305,KECL,Kirloskar Electric Company Limited,69336.29
1306,EMAMIPAP,Emami Paper Mills Limited,69059.67
1307,ELECTHERM,Electrotherm (India) Limited,68683.77
1308,LOKESHMACH,Lokesh Machines Limited,68558.28
1309,SELAN,Selan Exploration Technology Limited,68438
1310,AVG,AVG Logistics Limited,68296.57
1311,SAHANA,Sahana System Limited,67866.24
